Modulo,ID,Nombre,Descripcion,Rol,Regla de Negocio,Criterio de Aceptacion,Prioridad,Trazabilidad normativa
Gestion de Usuarios,RF01,Registrar usuario,Permitir crear usuarios con identificacion y consentimiento informado,Administrador,Cedula y correo son unicos y el consentimiento es obligatorio,El usuario queda activo y auditado,Alta,Ley 1581 Art. 12; Art. 15
Gestion de Usuarios,RF02,Asignar rol,Asignar un rol predefinido con permisos minimos,Administrador,Un residente no puede asignarse permisos,El rol determina los endpoints disponibles,Alta,Ley 1581 principio de seguridad
Gestion de Usuarios,RF03,Autenticar usuario,Iniciar sesion con correo y contraseña,Todos,La contraseña se almacena con bcrypt y se emite JWT,Credenciales validas producen token y credenciales invalidas producen 401,Alta,Ley 1581 principio de seguridad
Gestion de Usuarios,RF04,Desactivar usuario,Impedir operaciones a usuarios inactivos,Administrador,El estado inactivo revoca el acceso,Un usuario inactivo no puede ingresar ni registrar acceso,Alta,Ley 1581 Art. 4
Gestion de Usuarios,RF05,Recuperar cuenta,Permitir restablecer contraseña mediante token temporal,Todos,El token expira y solo puede usarse una vez,El usuario recibe enlace seguro y puede actualizar contraseña,Media,Ley 1581 principio de seguridad
Control de Acceso,RF06,Registrar acceso,Registrar entrada o salida con fecha y punto,Operador,Todo evento debe conservar resultado y actor,El evento aparece en consulta y auditoria,Alta,Ley 1581 trazabilidad
Control de Acceso,RF07,Validar biometria,Validar identidad mediante lector biometrico,Operador,No almacenar plantilla sin consentimiento explicito,Acceso permitido solo con coincidencia autorizada,Alta,Ley 1581 datos sensibles Art. 5
Control de Acceso,RF08,Validar RFID,Validar tarjeta RFID asociada a usuario,Operador,Una tarjeta no puede estar asociada a dos usuarios,Una tarjeta activa produce evento permitido,Alta,Ley 1581 principio de seguridad
Control de Acceso,RF09,Validar placa,Validar placa vehicular colombiana,Operador,Formato requerido ABC123,Placas invalidas son rechazadas y auditadas,Media,Ley 1581 minimizacion
Control de Acceso,RF10,Bloquear acceso inactivo,Rechazar acceso de usuario inactivo,Operador,No existen excepciones automaticas,API devuelve 403 y registra denegacion,Alta,Ley 1581 Art. 4
Videovigilancia,RF11,Registrar camara,Configurar camara IP y ubicacion,Administrador,URL no se expone a residentes,La camara activa queda disponible para operadores,Alta,Circular 005 de 2017
Videovigilancia,RF12,Consultar stream,Entregar stream autorizado de camara,Operador,Requiere rol y camara activa,La respuesta incluye URL y estado de anonimización,Alta,Circular 005 de 2017
Videovigilancia,RF13,Detectar rostros,Detectar rostros en frames con OpenCV,Operador,El procesamiento debe ser trazable,Se generan eventos de deteccion sin identificar por defecto,Media,Ley 1581 datos sensibles
Videovigilancia,RF14,Anonimizar rostros,Aplicar desenfoque automatico a rostros,Administrador,El video publicado debe estar anonimizado,El archivo procesado marca anonimizado=true,Alta,Circular 005 de 2017; Ley 1581
Videovigilancia,RF15,Retener video,Eliminar videos al vencer retencion,Administrador,Retencion configurable entre 1 y 3650 dias,Un job elimina objetos vencidos y audita accion,Alta,Circular 005 de 2017
Alertas,RF16,Crear alerta,Crear alerta por evento sospechoso,Operador,Severidad debe ser controlada,La alerta queda abierta y notifica suscriptores,Alta,Ley 1581 principio de seguridad
Alertas,RF17,Notificar en tiempo real,Enviar alerta por WebSocket,Operador,No incluir datos sensibles en canales no autorizados,Cliente conectado recibe evento en menos de 5 segundos,Alta,Ley 1581 principio de seguridad
Alertas,RF18,Cerrar alerta,Permitir cerrar una alerta con responsable,Operador,Debe conservar atendida_por y fecha,Al cerrar queda trazabilidad completa,Media,Ley 1581 Art. 15
Reportes,RF19,Reporte de accesos,Generar resumen filtrable de entradas y salidas,Administrador,Excluir datos no necesarios,El reporte exporta JSON/CSV y registra parametros,Alta,Ley 1581 minimizacion
Reportes,RF20,Reporte de incidentes,Generar informe de alertas y evidencias,Administrador,Acceso restringido a autoridad autorizada,El informe contiene hash y fecha de generacion,Alta,Circular 005 de 2017
Reportes,RF21,Exportar auditoria,Exportar bitacora para autoridad competente,Autoridad,Requiere autorizacion y rango de fechas,La exportacion es descargable y queda auditada,Alta,Ley 1581 Art. 15
Cumplimiento Normativo,RF22,Registrar consentimiento,Guardar evidencia de consentimiento informado,Administrador,Fecha y version de politica son obligatorias,El consentimiento queda asociado a usuario y version,Alta,Ley 1581 Art. 12
Cumplimiento Normativo,RF23,Atender derechos,Permitir consulta y rectificacion de datos,Administrador,Responder solicitudes dentro de plazo legal,La solicitud tiene estado y evidencia de respuesta,Alta,Ley 1581 Art. 14 y 15
Cumplimiento Normativo,RF24,Auditar operaciones,Registrar actor accion recurso resultado e IP,Sistema,Ningun cambio critico ocurre sin auditoria,La operacion genera fila en auditoria,Alta,Ley 1581 principio de seguridad
Cumplimiento Normativo,RF25,Aplicar retencion,Marcar fecha de retencion en datos personales,Sistema,No conservar mas alla de finalidad,Un job identifica y elimina datos vencidos,Alta,Ley 1581 principio de temporalidad
Cumplimiento Normativo,RF26,Backup cifrado,Realizar respaldo automatico PostgreSQL,Administrador,El backup debe cifrarse y probar restauracion,Existe backup verificable con checksum,Alta,Ley 1581 principio de seguridad
